ID,ScientificName,VernacularNamesForScientific,Classification,ClassificationRanks,Biostatus
684,Egretta novaehollandiae,White-faced Heron|matuku moana|White-faced Heron|White-faced Heron,Egretta novaehollandiae|Egretta|Ardeinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
685,Charadrius veredus,Oriental Dotterel|Oriental Dotterel|Oriental Dotterel|Oriental Dotterel,Charadrius veredus|Charadrius|Charadriinae|Charadriidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
686,Sterna fuscata serrata,Sooty Tern|Sooty Tern,Sterna fuscata serrata|Sterna fuscata|Sterna|Sterninae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
687,Porzana pusilla affinis,Koitareke|Marsh Crake|kotoreke|Baillon's crake|Koitareke|Marsh Crake|Koitareke|Marsh Crake,Porzana pusilla affinis|Porzana pusilla|Porzana|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
688,Glareolidae,Pratincoles and Coursers|Pratincoles and Coursers,Glareolidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
689,Archaeospheniscus lopdelli,,Archaeospheniscus lopdelli|Archaeospheniscus|Spheniscidae|Sphenisciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
690,Calonectris diomedea,North Atlantic Shearwater|North Atlantic Shearwater,Calonectris diomedea|Calonectris|Procellariinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
691,Leucocarbo purpurascens,Macquarie Island Shag,Leucocarbo purpurascens|Leucocarbo|Phalacrocoracidae|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
692,Malacorhynchus scarletti,Scarlett's duck|Scarlett's duck|Scarlett's duck,Malacorhynchus scarletti|Malacorhynchus|Malacorhynchini|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|tribe|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
693,Ardenna griseus,,Ardenna griseus|Ardenna|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
694,Threskiornithidae,Ibises and Spoonbills|Ibises and Spoonbills|Ibises and Spoonbills,Threskiornithidae|Threskiornithes|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
695,Anous stolidus pileatus,Common Noddy|Common Noddy|Brown noddy|Common Noddy,Anous stolidus pileatus|Anous stolidus|Anous|Megalopterinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
696,Limicola falcinellus sibirica,Eastern Broad-billed Sandpiper,Limicola falcinellus sibirica|Scolopacidae|Charadrii|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
697,Thalassarche cauta steadi,,Thalassarche cauta steadi|Thalassarche cauta|Thalassarche|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
698,Puffinus bulleri,Buller's shearwater|Buller's shearwater|Buller's shearwater,Puffinus bulleri|Thyellodroma|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
699,Pterodroma (Hallstroma) neglecta neglecta,Kermadec Petrel,Pterodroma (Hallstroma) neglecta neglecta|Pterodroma neglecta|Hallstroma|Pterodroma|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|subgenus|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
700,Dinornis novaezealandiae,North Island giant moa|North Island giant moa|North Island giant moa,Dinornis novaezealandiae|Dinornis|Dinornithidae|Dinornithiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
701,Gallirallus australis hectori,Buff Weka|Buff Weka|Buff Weka|woodhen,Gallirallus australis hectori|Gallirallus australis|Gallirallus|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
702,Aythya australis,Hardhead|White-eyed duck|White-eyed duck|Australian white-eyed duck|karakahia,Aythya australis|Aythya|Anatinae|Anatidae|Anseres|Anseriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
703,Ardea alba modesta,,Ardea alba modesta|Ardea alba|Ardea|Ardeinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
704,Lalage tricolor,White-winged Thriller|Australian White-winged Triller|Australian White-winged Triller|Australian White-winged Triller,Lalage tricolor|Lalage|Campephagidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
705,Athene noctua,Little owl|Little owl|Little owl|Little owl|German owl,Athene noctua|Athene|Buboninae|Strigidae|Strigiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
706,Phalacrocorax carbo,Great Cormorant,Phalacrocorax carbo|Phalacrocorax|Phalacrocoracidae|Suloidea|Pelecani|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|superfamily|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|Chatham Islands|Political Region|Terrestrial
707,Megalapteryx,,Megalapteryx|Anomalopteryginae|Emeidae|Dinornithiformes|Ratitae|Palaeognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|order|subinfraclass|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
708,Hemiphaga novaeseelandiae,Kukupa|New Zealand Pigeon|New Zealand Pigeon|New Zealand Pigeon|Kukupa|Kereru|New Zealand Pigeon,Hemiphaga novaeseelandiae|Hemiphaga|Ptilinopinae|Columbidae|Columbae|Columbiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
709,Nestor meridionalis meridionalis,South Island Kaka|kawkaw|bush parrot|South Island Kaka|brown parrot,Nestor meridionalis meridionalis|Nestor meridionalis|Nestor|Nestorinae|Strigopidae|Psittaciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
710,Zosterops lateralis lateralis,Silvereye|Waxeye,Zosterops lateralis lateralis|Zosterops lateralis|Zosterops|Zosteropidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
711,Diaphorapteryx hawkingi,Giant Chatham Island Rail,Diaphorapteryx hawkingi|Diaphorapteryx|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
712,Cuculinae,Parasitic Cuckoos|Parasitic Cuckoos,Cuculinae|Cuculidae|Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
713,Philomachus pugnax,Ruff|Ruff|Ruff|Ruff,Philomachus pugnax|Philomachus|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
714,Philesturnus rufusater,North Island Saddleback|North Island Saddleback|Tieke|tiaki|North Island Saddleback,Philesturnus rufusater|Philesturnus|Callaeidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
715,Pelagodroma marina maoriana,New Zealand White-faced Storm Petrel|Takahikare-moana|takahikare|Takahikare-moana|NZ White-faced Storm Petrel|frigate Petrel|Jesus Christ bird|J C bi|New Zealand White-faced Storm Petrel|Takahikare-moana,Pelagodroma marina maoriana|Pelagodroma marina|Pelagodroma|Oceanitinae|Hydrobatidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
716,Alectoris chukar,Chukor|Chukor|Chukor|Chukor,Alectoris chukar|Alectoris|Phasianinae|Phasianidae|Galliformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|
717,Puffinus puffinus,Manx Shearwater,Puffinus puffinus|Puffinus|Procellariinae|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
718,Larus bulleri,Black-billed Gull|Black-billed Gull|tarapuka|black billed gull|Buller's gull|blackbilled gull|seagull|Black-billed Gull|Black-billed Gull,Larus bulleri|Larus|Larinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
719,Megadyptes antipodes,Hoiho|hoihoi|yellow eyed Penguin|yellow-crowned Penguin|yelloweyed Penguin|Hoiho|Yellow-eyed Penguin|Yellow-eyed Penguin|Hoiho|Yellow-eyed Penguin,Megadyptes antipodes|Megadyptes|Spheniscidae|Sphenisciformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
720,Thalassarche melanophris melanophris,,Thalassarche melanophris melanophris|Thalassarche melanophris|Thalassarche|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
721,Cyanoramphus auriceps auriceps,Kakariki|Yellow-crowned parakeet,Cyanoramphus auriceps auriceps|Cyanoramphus auriceps|Cyanoramphus|Platycercinae|Psittacidae|Psittaciformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
722,Pachyplichas jagmi,North Island stout-legged Wren|North Island stout-legged Wren|North Island stout-legged Wren|North Island stout-legged Wren,Pachyplichas jagmi|Pachyplichas|Acanthisittidae|Acanthisittides|Oligomyodi|Passeriformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|infraorder|suborder|order|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
723,Porphyrio hochstetteri,South Island takahe|Notornis|Takahe|South Island takahe,Porphyrio hochstetteri|Porphyrio|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
724,Cuculus,,Cuculus|Cuculinae|Cuculidae|Cuculi|Cuculiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
725,Hirundo tahitica,Welcome Swallow|Welcome Swallow,Hirundo tahitica|Hirundo|Hirundinidae|Passeres|Passeriformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,|Absent||New Zealand|Political Region|
726,Egretta,,Egretta|Ardeinae|Ardeidae|Ardeae|Ciconiiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
727,Calidris minuta,Little stint|Little stint|Little stint|Little stint,Calidris minuta|Calidris|Calidrinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
728,Podiceps cristatus,Southern crested grebe|Crested Grebe|Puteketeke,Podiceps cristatus|Podiceps|Podicipedidae|Podicipediformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|class|superclass|subphylum|phylum|kingdom|none,Non-endemic|Present|Wild|North Island|Political Region|Terrestrial
729,Tringinae,"Curlews, Godwits, Shanks|Curlews, Godwits, Shanks",Tringinae|Scolopacidae|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
730,Larus pipixcan,Franklin's Gull|Franklin's Gull|Franklin's Gull|Franklin's Gull,Larus pipixcan|Larus|Larinae|Laridae|Lari|Charadriiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|subfamily|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Sometimes Present|Wild|New Zealand|Political Region|
731,Diomedea antipodensis,Antipodean albatross,Diomedea antipodensis|Diomedea|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Endemic|Present|Wild|New Zealand|Political Region|
732,Phaethon lepturus,White-tailed tropic bird|White-tailed Tropicbird,Phaethon lepturus|Phaethon|Phaethontidae|Phaethontes|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Exotic|Present|Wild|New Zealand|Political Region|Terrestrial
733,Thalassarche chrysostoma,Grey-headed Mollymawk,Thalassarche chrysostoma|Thalassarche|Diomedeidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
734,Puffinus assimilis elegans,Subantarctic little shearwater|Subantarctic little shearwater,Puffinus assimilis elegans|Puffinus assimilis|Puffinus|Procellariidae|Procellariiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,
735,Rallus philippensis dieffenbachii,Dieffenbach's rail|Dieffenbach's rail,Rallus philippensis dieffenbachii|Rallus philippensis|Rallus|Rallinae|Rallidae|Gruiformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,subspecies|species|genus|subfamily|family|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Unknown|Extinct|Wild|New Zealand|Political Region|
736,Phaethon rubricauda,Red-tailed Tropicbird|Red-tailed Tropicbird,Phaethon rubricauda|Phaethon|Phaethontidae|Phaethontes|Pelecaniformes|Neognathae|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|genus|family|suborder|order|subclass|class|superclass|subphylum|phylum|kingdom|none,Indigenous|Present|Wild|New Zealand|Political Region|
737,Apteryx australis Haast,Haast tokoeka,Apteryx australis Haast|Apterygidae|Apterygiformes|Aves|Gnathostomata|Craniata|Chordata|Animalia|ROOT,species|family|order|class|superclass|subphylum|phylum|kingdom|none,
